n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,1,0.5,0.381567901,0.000651965,0,0,0.979457598,0.00033479,64368.5,99.76998547
1,1,0.691462461,0.499490625,0.001017645,0,0,0.986585493,0.000475113,81055.3,182.6121847
1,1,0.841344746,0.660679938,0.001522984,0,0,0.992608589,0.000438455,99131.5,145.7554459
1,1,0.894350226,0.745079861,0.001585058,0,0,0.995009036,0.000227954,107597.1,187.1440354
1,1,0.933192799,0.821819907,0.001366535,0,0,0.996720114,0.000134018,114940.4,177.0554715
1,1,0.959940843,0.885814815,0.001500725,0,0,0.997928207,0.00010529,120763.8,222.8177731
1,1,0.977249868,0.931177315,0.000664658,0,0,0.998833887,6.32E-05,124778.5,163.7560686
1,1,0.987775527,0.961700849,0.000547102,0,0,0.999365237,6.22E-05,127446.3,161.4837763
1,1,0.993790335,0.980581713,0.000442276,0,0,0.999692197,4.21E-05,128990.2,159.3033584
1,1,0.998650102,0.995754475,0.000365072,0,0,0.999932491,2.08E-05,130350.2,161.5591533
1,2,0.5,0.048334028,0.000284721,0.230139834,0.000685197,0.979642438,0.000475641,99108.9,162.457656
1,2,0.691462461,0.151368094,0.001316313,0.150857079,0.000535894,0.986937303,0.000243928,137833.5,329.6286547
1,2,0.841344746,0.368755671,0.002530251,0.067817689,0.000848904,0.992907748,0.000205652,184999.5,444.8924027
1,2,0.894350226,0.510261574,0.00253229,0.037797762,0.000571851,0.994959867,0.000165834,207136.8,345.6416642
1,2,0.933192799,0.650574267,0.002601758,0.017872743,0.000514965,0.996717144,0.000155525,225846.2,290.1164594
1,2,0.959940843,0.772065895,0.00181362,0.007350907,0.00021131,0.99798856,0.000115971,239436.5,366.3343418
1,2,0.977249868,0.86344375,0.001535135,0.002429726,7.80E-05,0.998821953,6.67E-05,248972.8,378.832364
1,2,0.987775527,0.923964159,0.001435666,0.000791705,9.07E-05,0.999382011,5.99E-05,254702.1,167.8269645
1,2,0.993790335,0.960705748,0.000943184,0.00020353,4.32E-05,0.99966391,3.77E-05,257979.7,283.9855806
1,2,0.998650102,0.991471296,0.000480715,8.56E-06,6.45E-06,0.999930211,1.83E-05,260785.4,188.6717785
1,3,0.5,0.000941358,7.75E-05,0.461468814,0.000835668,0.979327086,0.000452314,103996.5,232.9898066
1,3,0.691462461,0.018439776,0.0004101,0.346216872,0.001007435,0.986699056,0.000211199,159167,394.6801236
1,3,0.841344746,0.153849923,0.001669947,0.168671039,0.001027432,0.992700842,0.000150143,247453.3,516.0517513
1,3,0.894350226,0.30568912,0.001965204,0.091846168,0.000973574,0.994993295,0.000126874,293174.6,472.3340343
1,3,0.933192799,0.488794676,0.002142826,0.041887526,0.000552511,0.996675606,5.87E-05,330408.6,387.5441136
1,3,0.959940843,0.661506597,0.001797341,0.016281507,0.0003463,0.997956272,5.18E-05,356112.5,287.2849631
1,3,0.977249868,0.79582936,0.001651515,0.005491847,0.000236941,0.998838484,7.04E-05,372184.2,297.4406832
1,3,0.987775527,0.885940355,0.002067915,0.001603112,0.000114024,0.999376841,4.33E-05,381610.6,208.3574813
1,3,0.993790335,0.941103935,0.001108556,0.000404077,5.34E-05,0.99968963,2.91E-05,386962.2,353.5394745
1,3,0.998650102,0.986809221,0.000471414,1.57E-05,6.06E-06,0.999935044,7.84E-06,391024.2,283.2803558
1,4,0.5,7.91E-06,3.69E-06,0.595198148,0.000482875,0.979707154,0.000522028,104167.1,191.4102662
1,4,0.691462461,0.000708025,0.000112172,0.499778279,0.001304574,0.986968878,0.00025529,162442.9,652.9087915
