n_humans,n_robots,p_robot,mean Human Down, std human down,mean robot Down, std robot down,Success rate,
,,,,,,,,
1,3,0.5,0.000903279,9.95E-05,0.461403009,0.00065673,0.979378559,0.000453222
,,,,,,,,
1,3,0.68,0.015678819,0.000373198,0.355190136,0.001258909,0.986548863,0.000245909
,,,,,,,,
1,3,0.8,0.088376389,0.001223815,0.226049267,0.001573699,0.991136618,0.000203767
,,,,,,,,
1,3,0.9,0.328027932,0.00183662,0.08429492,0.001017831,0.995194727,0.000120092
,,,,,,,,
1,3,0.95,0.592423302,0.002872487,0.024772467,0.000544791,0.997502529,9.78E-05
,,,,,,,,
1,3,0.99,0.906010417,0.001830155,0.001067014,8.44E-05,0.999472703,1.53E-05
,,,,,,,,
1,3,0.997,0.971001466,0.000936273,9.26E-05,2.25E-05,0.999836044,1.84E-05
,,,,,,,,
1,3,0.99994,0.999399884,8.10E-05,0,0,0.999996174,2.06E-06
,,,,,,,,
2,3,0.5,0.144947685,0.000707534,0.080429411,0.000297006,0.979518529,0.000253261
,,,,,,,,
2,3,0.68,0.269652836,0.001077617,0.046112783,0.000460179,0.986413862,0.000199936
,,,,,,,,
2,3,0.8,0.421612172,0.001379601,0.021472351,0.00027491,0.991232265,0.000258757
,,,,,,,,
2,3,0.9,0.63358885,0.000905564,0.005195692,0.000139998,0.995241686,9.36E-05
,,,,,,,,
2,3,0.95,0.791297338,0.000800392,0.000965664,6.11E-05,0.997516104,8.42E-05
,,,,,,,,
2,3,0.99,0.952948573,0.000566166,1.01E-05,7.55E-06,0.999476241,2.44E-05
,,,,,,,,
2,3,0.997,0.985607407,0.00035653,0,0,0.99983604,2.32E-05
,,,,,,,,
2,3,0.99994,0.99974348,4.93E-05,0,0,0.999997706,2.12E-06
,,,,,,,,
3,3,0.5,0.373990445,0.000466475,0.003097775,6.74E-05,0.979414181,0.000205961
,,,,,,,,
3,3,0.68,0.485692927,0.000712032,0.001220126,5.94E-05,0.986338061,0.000222644
,,,,,,,,
3,3,0.8,0.603522094,0.00053461,0.000364082,3.42E-05,0.990993709,0.000123858
,,,,,,,,
3,3,0.9,0.754311124,0.001209939,4.71E-05,1.25E-05,0.995135079,6.32E-05
,,,,,,,,
3,3,0.95,0.859964622,0.000898114,5.12E-06,4.74E-06,0.997476332,9.62E-05
,,,,,,,,
3,3,0.99,0.96817347,0.000554772,2.57E-07,7.72E-07,0.999462184,4.57E-05
,,,,,,,,
3,3,0.997,0.990300874,0.000345596,0,0,0.999836524,2.23E-05
,,,,,,,,
3,3,0.99994,0.999807806,3.85E-05,0,0,0.999998469,1.69E-06
