n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate
1,1,0.5,0.381188079,0.001086843,0,0,0.979478087,0.000441676
1,1,0.68,0.491189892,0.00178008,0,0,0.986498721,0.000394586
1,1,0.8,0.606169715,0.001770445,0,0,0.9910124,0.000284922
1,1,0.9,0.75561439,0.001480638,0,0,0.995277855,0.000214886
1,1,0.95,0.860509915,0.001375184,0,0,0.997432581,0.000119094
1,1,0.99,0.968499306,0.00085437,0,0,0.99946745,6.87E-05
1,1,0.997,0.990645718,0.000501119,0,0,0.999870673,1.94E-05
1,1,0.99994,0.999809375,6.35E-05,0,0,0.99999388,8.24E-06
2,1,0.5,0.68336466,0.000457424,0,0,0.979133925,0.000602947
2,1,0.68,0.741635089,0.000811094,0,0,0.986412713,0.000252087
2,1,0.8,0.801606038,0.000520604,0,0,0.991012918,0.000219854
2,1,0.9,0.877350559,0.000909485,0,0,0.99520016,0.000270166
2,1,0.95,0.93013613,0.000730809,0,0,0.997484974,0.000121072
2,1,0.99,0.984309664,0.000401243,0,0,0.999473711,7.15E-05
2,1,0.997,0.995106115,0.000279918,0,0,0.999831484,2.49E-05
2,1,0.99994,0.999879977,3.10E-05,0,0,0.999996944,7.00E-06
3,1,0.5,0.788760442,0.000405232,0,0,0.979065568,0.000610582
3,1,0.68,0.827203717,0.000458381,0,0,0.986224828,0.000345316
3,1,0.8,0.867696052,0.000427922,0,0,0.991015876,0.000286936
3,1,0.9,0.918281211,0.000553447,0,0,0.995344303,0.000283598
3,1,0.95,0.953644393,0.000432932,0,0,0.997546759,9.06E-05
3,1,0.99,0.989601916,0.000153493,0,0,0.999436084,3.89E-05
3,1,0.997,0.996786831,0.000180127,0,0,0.999851388,3.20E-05
3,1,0.99994,0.999930183,3.48E-05,0,0,0.999992356,9.04E-06
1,2,0.5,0.048074498,0.000484616,0.230308893,0.000705577,0.97955406,0.000495446
1,2,0.68,0.141406327,0.001401629,0.15648804,0.000941908,0.986417931,0.000467896
1,2,0.8,0.286156944,0.001964406,0.092769464,0.000971664,0.991069247,0.000248472
1,2,0.9,0.526430208,0.002331204,0.03490951,0.000701075,0.995197401,0.000192176
1,2,0.95,0.724346296,0.001474919,0.010968576,0.000340172,0.997492362,0.000135145
1,2,0.99,0.937554784,0.001601695,0.000528704,6.91E-05,0.999490931,3.11E-05
1,2,0.997,0.980765702,0.000709075,3.64E-05,2.04E-05,0.999847559,2.57E-05
1,2,0.99994,0.999665818,7.20E-05,0,0,0.999997706,2.54E-06
2,2,0.5,0.377221528,0.000713926,0.003240181,0.000132881,0.979383619,0.000346465
2,2,0.68,0.487599267,0.001432714,0.001591609,0.000103844,0.986253781,0.000398161
2,2,0.8,0.60474863,0.001077999,0.000665934,6.16E-05,0.991054872,0.000213585
2,2,0.9,0.754324537,0.000923434,0.000153569,4.03E-05,0.995154592,0.000120272
2,2,0.95,0.859719367,0.000953013,2.32E-05,1.07E-05,0.997490328,7.78E-05
2,2,0.99,0.968285783,0.000659556,1.06E-06,3.18E-06,0.999461693,3.83E-05
2,2,0.997,0.990432272,0.00041624,0,0,0.999851035,2.51E-05
2,2,0.99994,0.999797608,3.52E-05,0,0,0.999997322,3.44E-06
3,2,0.5,0.577785134,0.000552161,5.30E-06,6.70E-06,0.979405669,0.00026151
3,2,0.68,0.655405556,0.000885169,9.45E-07,2.00E-06,0.986354437,0.000261079
3,2,0.8,0.735636085,0.001052657,8.29E-07,1.78E-06,0.991009094,0.000179422
3,2,0.9,0.83616088,0.001312558,0,0,0.9951601,0.000134874
3,2,0.95,0.906794226,0.00071266,0,0,0.997495245,0.000129768
3,2,0.99,0.979288555,0.000276613,0,0,0.999480668,4.04E-05
3,2,0.997,0.99355562,0.000244301,0,0,0.999846765,3.15E-05
3,2,0.99994,0.999862719,1.96E-05,0,0,0.999994261,3.92E-06
1,3,0.5,0.000935648,0.000109067,0.461103331,0.000604082,0.979459841,0.000462371
1,3,0.68,0.015782523,0.000369257,0.355391641,0.000698378,0.986447181,0.000337506
1,3,0.8,0.08720652,0.001218642,0.226468891,0.001649393,0.991066276,0.000147173
1,3,0.9,0.327270872,0.002961901,0.084306674,0.001146087,0.995207971,0.000158091
1,3,0.95,0.591909105,0.002346505,0.024577533,0.000365813,0.997524048,6.82E-05
1,3,0.99,0.905717901,0.001390912,0.00111052,0.00011009,0.999471148,4.16E-05
